reqId,testId,mode,model,coverage_score,support_score,objective_score
R100b,R100b_10,graph,gpt-4o-mini,1.0,0.6,0.82
R21,R21_1,graph,gpt-4o-mini,1.0,0.7692,0.8961
R21,R21_2,graph,gpt-4o-mini,1.0,0.7143,0.8714
R21,R21_3,graph,gpt-4o-mini,1.0,0.3333,0.7
R21,R21_4,graph,gpt-4o-mini,0.5,0.3333,0.425
R21,R21_5,graph,gpt-4o-mini,1.0,0.5882,0.8147
R21,R21_6,graph,gpt-4o-mini,0.5,0.5556,0.525
R21,R21_7,graph,gpt-4o-mini,1.0,0.3846,0.7231
R21,R21_8,graph,gpt-4o-mini,0.5,0.2778,0.4
R21,R21_9,graph,gpt-4o-mini,1.0,0.4211,0.7395
R21,R21_10,graph,gpt-4o-mini,0.5,0.6364,0.5614
R31b,R31b_1,graph,gpt-4o-mini,0.7143,0.5556,0.6429
R31b,R31b_2,graph,gpt-4o-mini,0.5714,0.5556,0.5643
R31b,R31b_3,graph,gpt-4o-mini,0.4286,0.6,0.5057
R31b,R31b_4,graph,gpt-4o-mini,0.4286,0.5,0.4607
R31b,R31b_5,graph,gpt-4o-mini,0.8571,0.7273,0.7987
R31b,R31b_6,graph,gpt-4o-mini,0.7143,0.4444,0.5928
R31b,R31b_7,graph,gpt-4o-mini,0.4286,0.3571,0.3964
R31b,R31b_8,graph,gpt-4o-mini,0.5714,0.75,0.6518
R31b,R31b_9,graph,gpt-4o-mini,0.4286,0.3333,0.3857
R31b,R31b_10,graph,gpt-4o-mini,0.4286,0.3333,0.3857
R71,R71_1,hybrid,gpt-4o-mini,0.2,0.3158,0.2521
R71,R71_2,hybrid,gpt-4o-mini,0.3,0.2857,0.2936
R71,R71_3,hybrid,gpt-4o-mini,0.4,0.25,0.3325
R71,R71_4,hybrid,gpt-4o-mini,0.3,0.3125,0.3056
R71,R71_5,hybrid,gpt-4o-mini,0.1,0.3077,0.1935
R71,R71_6,hybrid,gpt-4o-mini,0.4,0.375,0.3888
R71,R71_7,hybrid,gpt-4o-mini,0.4,0.3077,0.3585
R71,R71_8,hybrid,gpt-4o-mini,0.1,0.2857,0.1836
R71,R71_9,hybrid,gpt-4o-mini,0.5,0.2632,0.3934
R71,R71_10,hybrid,gpt-4o-mini,0.5,0.5,0.5
R69,R69_1,vector,gpt-4o-mini,0.4667,0.75,0.5942
R69,R69_2,vector,gpt-4o-mini,0.3333,0.8182,0.5515
R69,R69_3,vector,gpt-4o-mini,0.3333,1.0,0.6333
R69,R69_4,vector,gpt-4o-mini,0.4,0.8889,0.62
R69,R69_5,vector,gpt-4o-mini,0.2667,0.8182,0.5149
R69,R69_6,vector,gpt-4o-mini,0.3333,0.8333,0.5583
R69,R69_7,vector,gpt-4o-mini,0.3333,1.0,0.6333
R69,R69_8,vector,gpt-4o-mini,0.3333,0.8462,0.5641
R69,R69_9,vector,gpt-4o-mini,0.2667,0.6923,0.4582
R69,R69_10,vector,gpt-4o-mini,0.2667,0.9,0.5517
R51c,R51c_1,graph,gpt-4o-mini,0.25,0.9091,0.5466
R51c,R51c_2,graph,gpt-4o-mini,0.5,0.9167,0.6875
R51c,R51c_3,graph,gpt-4o-mini,0.5,0.8462,0.6558
R51c,R51c_4,graph,gpt-4o-mini,0.25,0.7273,0.4648
R51c,R51c_5,graph,gpt-4o-mini,0.25,0.8667,0.5275
R51c,R51c_6,graph,gpt-4o-mini,0.5,0.8462,0.6558
R51c,R51c_7,graph,gpt-4o-mini,0.25,1.0,0.5875
R51c,R51c_8,graph,gpt-4o-mini,0.25,0.9,0.5425
R51c,R51c_9,graph,gpt-4o-mini,0.25,0.7273,0.4648
R51c,R51c_10,graph,gpt-4o-mini,0.25,0.7273,0.4648
R83b,R83b_1,graph,gpt-4o-mini,0.6,0.7,0.645
R83b,R83b_2,graph,gpt-4o-mini,0.6,0.9,0.735
R83b,R83b_3,graph,gpt-4o-mini,0.6,0.75,0.6675
R83b,R83b_4,graph,gpt-4o-mini,0.8,0.7273,0.7673
R83b,R83b_5,graph,gpt-4o-mini,0.6,0.6,0.6
R83b,R83b_6,graph,gpt-4o-mini,0.6,0.6429,0.6193
R83b,R83b_7,graph,gpt-4o-mini,0.6,0.8,0.69
R83b,R83b_8,graph,gpt-4o-mini,0.6,0.5,0.555
R83b,R83b_9,graph,gpt-4o-mini,0.6,0.6,0.6
R83b,R83b_10,graph,gpt-4o-mini,0.6,0.6667,0.63
R93c,R93c_1,vector,gpt-4o-mini,0.2727,0.7,0.465
R93c,R93c_2,vector,gpt-4o-mini,0.2727,0.7,0.465
R93c,R93c_3,vector,gpt-4o-mini,0.2727,0.6,0.42
R93c,R93c_4,vector,gpt-4o-mini,0.4545,0.8125,0.6156
R93c,R93c_5,vector,gpt-4o-mini,0.2727,0.6154,0.4269
R93c,R93c_6,vector,gpt-4o-mini,0.2727,0.4667,0.36
R93c,R93c_7,vector,gpt-4o-mini,0.2727,0.6,0.42
R93c,R93c_8,vector,gpt-4o-mini,0.2727,0.5714,0.4071
R93c,R93c_9,vector,gpt-4o-mini,0.2727,0.5385,0.3923
R93c,R93c_10,vector,gpt-4o-mini,0.5455,0.7647,0.6441
R60c,R60c_1,hybrid,gpt-4o-mini,0.75,0.7,0.7275
R60c,R60c_2,hybrid,gpt-4o-mini,0.75,0.6923,0.724
R60c,R60c_3,hybrid,gpt-4o-mini,0.75,0.5714,0.6696
R60c,R60c_4,hybrid,gpt-4o-mini,0.75,0.7273,0.7398
R60c,R60c_5,hybrid,gpt-4o-mini,0.75,0.6364,0.6989
R60c,R60c_6,hybrid,gpt-4o-mini,0.75,0.3333,0.5625
R60c,R60c_7,hybrid,gpt-4o-mini,0.75,0.75,0.75
R60c,R60c_8,hybrid,gpt-4o-mini,0.75,0.3636,0.5761
R60c,R60c_9,hybrid,gpt-4o-mini,0.75,0.4211,0.602
R60c,R60c_10,hybrid,gpt-4o-mini,0.75,0.4286,0.6054
R30,R30_1,vector,gpt-4o-mini,1.0,0.75,0.8875
R30,R30_2,vector,gpt-4o-mini,1.0,0.8333,0.925
R30,R30_3,vector,gpt-4o-mini,1.0,0.625,0.8313
R30,R30_4,vector,gpt-4o-mini,1.0,0.625,0.8313
R30,R30_5,vector,gpt-4o-mini,1.0,0.5385,0.7923
R30,R30_6,vector,gpt-4o-mini,1.0,0.6154,0.8269
R30,R30_7,vector,gpt-4o-mini,1.0,0.5833,0.8125
R30,R30_8,vector,gpt-4o-mini,1.0,0.6667,0.85
R30,R30_9,vector,gpt-4o-mini,1.0,0.6667,0.85
R30,R30_10,vector,gpt-4o-mini,1.0,0.75,0.8875
R6,R6_1,hybrid,gpt-4o-mini,0.5,0.625,0.5563
R6,R6_2,hybrid,gpt-4o-mini,0.5,0.7143,0.5964
R6,R6_3,hybrid,gpt-4o-mini,0.5,0.5556,0.525
R6,R6_4,hybrid,gpt-4o-mini,0.5,0.375,0.4438
R6,R6_5,hybrid,gpt-4o-mini,0.5,0.6,0.545
R6,R6_6,hybrid,gpt-4o-mini,0.5,0.6875,0.5844
R6,R6_7,hybrid,gpt-4o-mini,0.5,0.4118,0.4603
R6,R6_8,hybrid,gpt-4o-mini,0.5,0.5385,0.5173
R6,R6_9,hybrid,gpt-4o-mini,0.5,0.4667,0.485
R6,R6_10,hybrid,gpt-4o-mini,0.5,0.5625,0.5281
R48,R48_1,vector,gpt-4o-mini,1.0,0.9091,0.9591
R48,R48_2,vector,gpt-4o-mini,1.0,0.9091,0.9591
R48,R48_3,vector,gpt-4o-mini,1.0,0.8182,0.9182
R48,R48_4,vector,gpt-4o-mini,1.0,0.8182,0.9182
R48,R48_5,vector,gpt-4o-mini,1.0,0.5,0.775
R48,R48_6,vector,gpt-4o-mini,1.0,0.7778,0.9
R48,R48_7,vector,gpt-4o-mini,0.5,0.7778,0.625
R48,R48_8,vector,gpt-4o-mini,1.0,0.8333,0.925
R48,R48_9,vector,gpt-4o-mini,1.0,0.6667,0.85
R48,R48_10,vector,gpt-4o-mini,1.0,0.7778,0.9
R81c,R81c_1,hybrid,gpt-4o-mini,0.5,0.7778,0.625
R81c,R81c_2,hybrid,gpt-4o-mini,0.5,0.6364,0.5614
R81c,R81c_3,hybrid,gpt-4o-mini,0.5,0.4615,0.4827
R81c,R81c_4,hybrid,gpt-4o-mini,0.5,0.5455,0.5205
R81c,R81c_5,hybrid,gpt-4o-mini,0.5,0.5,0.5
R81c,R81c_6,hybrid,gpt-4o-mini,0.5,0.6667,0.575
R81c,R81c_7,hybrid,gpt-4o-mini,0.5,0.5,0.5
R81c,R81c_8,hybrid,gpt-4o-mini,0.75,0.6923,0.724
R81c,R81c_9,hybrid,gpt-4o-mini,0.5,0.5833,0.5375
R81c,R81c_10,hybrid,gpt-4o-mini,0.5,0.6667,0.575
R81c,R81c_1,graph,gpt-4o-mini,0.5,0.7778,0.625
R81c,R81c_2,graph,gpt-4o-mini,0.75,0.8,0.7725
R81c,R81c_3,graph,gpt-4o-mini,0.5,0.375,0.4438
R81c,R81c_4,graph,gpt-4o-mini,0.5,0.5833,0.5375
R81c,R81c_5,graph,gpt-4o-mini,0.75,0.6923,0.724
R81c,R81c_6,graph,gpt-4o-mini,1.0,0.7273,0.8773
R81c,R81c_7,graph,gpt-4o-mini,0.75,0.6364,0.6989
R81c,R81c_8,graph,gpt-4o-mini,0.75,0.6364,0.6989
R81c,R81c_9,graph,gpt-4o-mini,0.5,0.7273,0.6023
R81c,R81c_10,graph,gpt-4o-mini,0.5,0.5333,0.515
R45,R45_1,hybrid,gpt-4o-mini,0.6667,0.7778,0.7167
R45,R45_2,hybrid,gpt-4o-mini,0.8333,0.7778,0.8083
R45,R45_3,hybrid,gpt-4o-mini,0.6667,0.5833,0.6292
R45,R45_4,hybrid,gpt-4o-mini,0.8333,0.5714,0.7154
R45,R45_5,hybrid,gpt-4o-mini,0.8333,0.8462,0.8391
R45,R45_6,hybrid,gpt-4o-mini,0.6667,0.6667,0.6667
R45,R45_7,hybrid,gpt-4o-mini,0.8333,0.6667,0.7583
R45,R45_8,hybrid,gpt-4o-mini,0.8333,0.6667,0.7583
R45,R45_9,hybrid,gpt-4o-mini,0.0,0.9,0.405
R45,R45_10,hybrid,gpt-4o-mini,0.6667,0.8462,0.7475
R3,R3_1,graph,gpt-4o-mini,0.125,0.3,0.2038
R3,R3_2,graph,gpt-4o-mini,0.25,0.6154,0.4144
R3,R3_3,graph,gpt-4o-mini,0.375,0.6154,0.4832
R3,R3_4,graph,gpt-4o-mini,0.125,0.4444,0.2687
R3,R3_5,graph,gpt-4o-mini,0.5,0.4286,0.4679
R3,R3_6,graph,gpt-4o-mini,0.125,0.0909,0.1097
R3,R3_7,graph,gpt-4o-mini,0.125,0.3846,0.2418
R3,R3_8,graph,gpt-4o-mini,0.125,0.4167,0.2563
R3,R3_9,graph,gpt-4o-mini,0.125,0.3333,0.2187
R3,R3_10,graph,gpt-4o-mini,0.125,0.7273,0.396
R58c,R58c_1,hybrid,gpt-4o-mini,0.7273,0.5,0.625
R58c,R58c_2,hybrid,gpt-4o-mini,0.7273,0.6364,0.6864
R58c,R58c_3,hybrid,gpt-4o-mini,0.7273,0.6364,0.6864
R58c,R58c_4,hybrid,gpt-4o-mini,0.6364,0.8,0.71
R58c,R58c_5,hybrid,gpt-4o-mini,0.7273,0.5,0.625
R58c,R58c_6,hybrid,gpt-4o-mini,0.7273,0.5714,0.6571
R58c,R58c_7,hybrid,gpt-4o-mini,0.7273,0.25,0.5125
R58c,R58c_8,hybrid,gpt-4o-mini,0.7273,0.5556,0.65
R58c,R58c_9,hybrid,gpt-4o-mini,0.8182,0.5556,0.7
R58c,R58c_10,hybrid,gpt-4o-mini,0.7273,0.5,0.625
R52c,R52c_1,graph,gpt-4o-mini,0.4615,0.75,0.5913
R52c,R52c_2,graph,gpt-4o-mini,0.3077,0.4444,0.3692
R52c,R52c_3,graph,gpt-4o-mini,0.0769,0.4,0.2223
R52c,R52c_4,graph,gpt-4o-mini,0.4615,0.6,0.5238
R52c,R52c_5,graph,gpt-4o-mini,0.4615,0.6154,0.5308
R52c,R52c_6,graph,gpt-4o-mini,0.4615,0.5833,0.5163
R52c,R52c_7,graph,gpt-4o-mini,0.3846,0.75,0.549
R52c,R52c_8,graph,gpt-4o-mini,0.3846,0.7778,0.5615
R52c,R52c_9,graph,gpt-4o-mini,0.0769,0.5714,0.2994
R52c,R52c_10,graph,gpt-4o-mini,0.0769,0.5,0.2673
R80,R80_1,hybrid,gpt-4o-mini,0.5,1.0,0.725
R80,R80_2,hybrid,gpt-4o-mini,0.4444,0.875,0.6382
R80,R80_3,hybrid,gpt-4o-mini,0.4444,1.0,0.6944
R80,R80_4,hybrid,gpt-4o-mini,0.3889,0.5556,0.4639
R80,R80_5,hybrid,gpt-4o-mini,0.5,0.9091,0.6841
R80,R80_6,hybrid,gpt-4o-mini,0.3889,0.7333,0.5439
R80,R80_7,hybrid,gpt-4o-mini,0.6111,0.8182,0.7043
R80,R80_8,hybrid,gpt-4o-mini,0.4444,0.75,0.5819
R80,R80_9,hybrid,gpt-4o-mini,0.2778,0.5,0.3778
R80,R80_10,hybrid,gpt-4o-mini,0.3889,0.9091,0.623
R38,R38_1,hybrid,gpt-4o-mini,0.5217,0.6154,0.5639
R38,R38_2,hybrid,gpt-4o-mini,0.5217,0.75,0.6244
R38,R38_3,hybrid,gpt-4o-mini,0.6522,0.7647,0.7028
R38,R38_4,hybrid,gpt-4o-mini,0.4348,0.6667,0.5392
R38,R38_5,hybrid,gpt-4o-mini,0.4783,0.5833,0.5256
R38,R38_6,hybrid,gpt-4o-mini,0.4348,0.6429,0.5284
R38,R38_7,hybrid,gpt-4o-mini,0.4783,0.4615,0.4707
R38,R38_8,hybrid,gpt-4o-mini,0.4348,0.5,0.4641
R38,R38_9,hybrid,gpt-4o-mini,0.4348,0.3846,0.4122
R38,R38_10,hybrid,gpt-4o-mini,0.4348,0.5385,0.4815
R50,R50_1,vector,gpt-4o-mini,0.6667,1.0,0.8167
R50,R50_2,vector,gpt-4o-mini,0.6667,0.75,0.7042
R50,R50_3,vector,gpt-4o-mini,0.8889,0.9,0.8939
R50,R50_4,vector,gpt-4o-mini,0.5556,0.9,0.7106
R50,R50_5,vector,gpt-4o-mini,0.6667,0.8571,0.7524
R50,R50_6,vector,gpt-4o-mini,0.4444,0.6923,0.556
R50,R50_7,vector,gpt-4o-mini,0.5556,0.7778,0.6556
R50,R50_8,vector,gpt-4o-mini,0.4444,0.9286,0.6623
R50,R50_9,vector,gpt-4o-mini,0.5556,0.6667,0.6056
R50,R50_10,vector,gpt-4o-mini,0.4444,0.7778,0.5944
R72b,R72b_1,hybrid,gpt-4o-mini,0.4762,0.9091,0.671
R72b,R72b_2,hybrid,gpt-4o-mini,0.5238,1.0,0.7381
R72b,R72b_3,hybrid,gpt-4o-mini,0.619,0.7647,0.6846
R72b,R72b_4,hybrid,gpt-4o-mini,0.4286,0.8182,0.6039
R72b,R72b_5,hybrid,gpt-4o-mini,0.5238,0.7647,0.6322
R72b,R72b_6,hybrid,gpt-4o-mini,0.381,0.6364,0.4959
R72b,R72b_7,hybrid,gpt-4o-mini,0.4762,0.6111,0.5369
R72b,R72b_8,hybrid,gpt-4o-mini,0.381,0.7,0.5246
R72b,R72b_9,hybrid,gpt-4o-mini,0.381,0.6667,0.5096
R72b,R72b_10,hybrid,gpt-4o-mini,0.5238,0.75,0.6256
R61c,R61c_1,graph,gpt-4o-mini,0.5455,0.6667,0.6
R61c,R61c_2,graph,gpt-4o-mini,0.6364,0.6364,0.6364
R61c,R61c_3,graph,gpt-4o-mini,0.5455,0.7273,0.6273
R61c,R61c_4,graph,gpt-4o-mini,0.5455,0.6429,0.5893
R61c,R61c_5,graph,gpt-4o-mini,0.5455,0.6667,0.6
R61c,R61c_6,graph,gpt-4o-mini,0.5455,0.5,0.525
R61c,R61c_7,graph,gpt-4o-mini,0.5455,0.5833,0.5625
R61c,R61c_8,graph,gpt-4o-mini,0.5455,0.5,0.525
R61c,R61c_9,graph,gpt-4o-mini,0.6364,0.5,0.575
R61c,R61c_10,graph,gpt-4o-mini,0.5455,0.5385,0.5423
R2,R2_1,vector,gpt-4o-mini,0.6923,0.9286,0.7986
R2,R2_2,vector,gpt-4o-mini,0.8462,0.7368,0.797
R2,R2_3,vector,gpt-4o-mini,0.6923,0.8235,0.7513
R2,R2_4,vector,gpt-4o-mini,0.9231,0.75,0.8452
R2,R2_5,vector,gpt-4o-mini,0.9231,0.9412,0.9312
R2,R2_6,vector,gpt-4o-mini,0.7692,0.6667,0.7231
R2,R2_7,vector,gpt-4o-mini,0.8462,0.8571,0.8511
R2,R2_8,vector,gpt-4o-mini,0.6923,0.6667,0.6808
R2,R2_9,vector,gpt-4o-mini,0.6923,0.5333,0.6208
R2,R2_10,vector,gpt-4o-mini,1.0,0.6667,0.85
R91d,R91d_1,vector,gpt-4o-mini,0.8889,0.8889,0.8889
R91d,R91d_2,vector,gpt-4o-mini,0.6667,0.6429,0.656
R91d,R91d_3,vector,gpt-4o-mini,0.6667,0.6667,0.6667
R91d,R91d_4,vector,gpt-4o-mini,0.7778,0.9444,0.8528
R91d,R91d_5,vector,gpt-4o-mini,0.7778,1.0,0.8778
R91d,R91d_6,vector,gpt-4o-mini,0.6667,0.5625,0.6198
R91d,R91d_7,vector,gpt-4o-mini,0.6667,0.6,0.6367
R91d,R91d_8,vector,gpt-4o-mini,0.7778,0.7,0.7428
R91d,R91d_9,vector,gpt-4o-mini,0.7778,0.75,0.7653
R91d,R91d_10,vector,gpt-4o-mini,0.7778,0.75,0.7653
R58c,R58c_1,graph,gpt-4o-mini,0.7273,0.6923,0.7116
R58c,R58c_2,graph,gpt-4o-mini,0.6364,0.6667,0.65
R58c,R58c_3,graph,gpt-4o-mini,0.7273,0.6,0.67
R58c,R58c_4,graph,gpt-4o-mini,0.7273,0.3846,0.5731
R58c,R58c_5,graph,gpt-4o-mini,0.7273,0.5,0.625
R58c,R58c_6,graph,gpt-4o-mini,0.8182,0.6923,0.7615
R58c,R58c_7,graph,gpt-4o-mini,0.7273,0.875,0.7938
R58c,R58c_8,graph,gpt-4o-mini,0.6364,0.6667,0.65
R58c,R58c_9,graph,gpt-4o-mini,0.7273,0.7778,0.75
R58c,R58c_10,graph,gpt-4o-mini,0.7273,0.45,0.6025
R2,R2_1,hybrid,gpt-4o-mini,0.5385,0.9231,0.7116
R2,R2_2,hybrid,gpt-4o-mini,0.6923,0.8571,0.7665
R2,R2_3,hybrid,gpt-4o-mini,0.5385,0.8182,0.6644
R2,R2_4,hybrid,gpt-4o-mini,0.7692,0.8,0.7831
R2,R2_5,hybrid,gpt-4o-mini,0.6154,0.7647,0.6826
R2,R2_6,hybrid,gpt-4o-mini,0.6923,0.6667,0.6808
R2,R2_7,hybrid,gpt-4o-mini,0.7692,0.6923,0.7346
R2,R2_8,hybrid,gpt-4o-mini,0.6923,0.75,0.7183
R2,R2_9,hybrid,gpt-4o-mini,0.5385,0.8667,0.6862
R2,R2_10,hybrid,gpt-4o-mini,0.7692,0.8235,0.7936
R51c,R51c_1,hybrid,gpt-4o-mini,0.25,1.0,0.5875
R51c,R51c_2,hybrid,gpt-4o-mini,0.5,0.7857,0.6286
R51c,R51c_3,hybrid,gpt-4o-mini,0.25,0.8462,0.5183
R51c,R51c_4,hybrid,gpt-4o-mini,0.25,0.5556,0.3875
R51c,R51c_5,hybrid,gpt-4o-mini,0.25,0.8,0.4975
R51c,R51c_6,hybrid,gpt-4o-mini,0.5,0.9091,0.6841
R51c,R51c_7,hybrid,gpt-4o-mini,0.25,0.8,0.4975
R51c,R51c_8,hybrid,gpt-4o-mini,0.5,0.6667,0.575
R51c,R51c_9,hybrid,gpt-4o-mini,0.25,0.8125,0.5031
R51c,R51c_10,hybrid,gpt-4o-mini,0.25,0.5,0.3625
R37,R37_1,vector,gpt-4o-mini,1.0,0.6364,0.8364
R37,R37_2,vector,gpt-4o-mini,1.0,0.4545,0.7545
R37,R37_3,vector,gpt-4o-mini,1.0,0.4,0.73
R37,R37_4,vector,gpt-4o-mini,1.0,0.4,0.73
R37,R37_5,vector,gpt-4o-mini,0.3333,0.4167,0.3708
R37,R37_6,vector,gpt-4o-mini,0.0,0.3636,0.1636
R37,R37_7,vector,gpt-4o-mini,1.0,0.6,0.82
R37,R37_8,vector,gpt-4o-mini,1.0,0.6667,0.85
R37,R37_9,vector,gpt-4o-mini,0.6667,0.6667,0.6667
R37,R37_10,vector,gpt-4o-mini,1.0,0.5,0.775
R6,R6_1,vector,gpt-4o-mini,0.25,0.3,0.2725
R6,R6_2,vector,gpt-4o-mini,0.25,0.5,0.3625
R6,R6_3,vector,gpt-4o-mini,0.25,0.8333,0.5125
R6,R6_4,vector,gpt-4o-mini,0.25,0.5,0.3625
R6,R6_5,vector,gpt-4o-mini,0.25,0.5,0.3625
R6,R6_6,vector,gpt-4o-mini,0.25,0.3,0.2725
R6,R6_7,vector,gpt-4o-mini,0.25,0.3,0.2725
R6,R6_8,vector,gpt-4o-mini,0.25,0.3846,0.3106
R6,R6_9,vector,gpt-4o-mini,0.25,0.3636,0.3011
R6,R6_10,vector,gpt-4o-mini,0.25,0.25,0.25
R81b,R81b_1,hybrid,gpt-4o-mini,0.5,0.7273,0.6023
R81b,R81b_2,hybrid,gpt-4o-mini,0.5,0.8333,0.65
R81b,R81b_3,hybrid,gpt-4o-mini,0.5,1.0,0.725
R81b,R81b_4,hybrid,gpt-4o-mini,0.5,0.5294,0.5132
R81b,R81b_5,hybrid,gpt-4o-mini,0.5,0.7692,0.6211
R81b,R81b_6,hybrid,gpt-4o-mini,0.5,0.8182,0.6432
R81b,R81b_7,hybrid,gpt-4o-mini,0.5,0.6364,0.5614
R81b,R81b_8,hybrid,gpt-4o-mini,0.6,0.9231,0.7454
R81b,R81b_9,hybrid,gpt-4o-mini,0.5,0.6,0.545
R81b,R81b_10,hybrid,gpt-4o-mini,0.5,0.7273,0.6023
R49,R49_1,vector,gpt-4o-mini,0.4,0.1,0.265
R49,R49_2,vector,gpt-4o-mini,0.6,0.25,0.4425
R49,R49_3,vector,gpt-4o-mini,0.4,0.125,0.2763
R49,R49_4,vector,gpt-4o-mini,0.4,0.1053,0.2674
R49,R49_5,vector,gpt-4o-mini,0.8,0.3158,0.5821
R49,R49_6,vector,gpt-4o-mini,0.4,0.2917,0.3513
R49,R49_7,vector,gpt-4o-mini,0.6,0.1765,0.4094
R49,R49_8,vector,gpt-4o-mini,0.4,0.1111,0.27
R49,R49_9,vector,gpt-4o-mini,0.6,0.1053,0.3774
R62,R62_1,vector,gpt-4o-mini,0.375,1.0,0.6562
R62,R62_2,vector,gpt-4o-mini,0.375,0.9,0.6113
R62,R62_3,vector,gpt-4o-mini,0.375,0.9,0.6113
R62,R62_4,vector,gpt-4o-mini,0.375,0.9,0.6113
R62,R62_5,vector,gpt-4o-mini,0.375,0.9,0.6113
R62,R62_6,vector,gpt-4o-mini,0.375,0.9,0.6113
R62,R62_7,vector,gpt-4o-mini,0.375,0.9,0.6113
R62,R62_8,vector,gpt-4o-mini,0.375,0.9,0.6113
R62,R62_9,vector,gpt-4o-mini,0.375,0.9,0.6113
R62,R62_10,vector,gpt-4o-mini,0.375,0.9,0.6113
R72b,R72b_1,vector,gpt-4o-mini,0.4286,0.7692,0.5819
R72b,R72b_2,vector,gpt-4o-mini,0.4762,0.8,0.6219
R72b,R72b_3,vector,gpt-4o-mini,0.4762,0.8182,0.6301
R72b,R72b_4,vector,gpt-4o-mini,0.381,0.6429,0.4989
R72b,R72b_5,vector,gpt-4o-mini,0.381,0.7,0.5246
R72b,R72b_6,vector,gpt-4o-mini,0.381,0.5385,0.4519
R72b,R72b_7,vector,gpt-4o-mini,0.381,0.5385,0.4519
R72b,R72b_8,vector,gpt-4o-mini,0.381,0.5833,0.472
R72b,R72b_9,vector,gpt-4o-mini,0.4762,0.7273,0.5892
R72b,R72b_10,vector,gpt-4o-mini,0.381,0.5,0.4345
R52c,R52c_1,hybrid,gpt-4o-mini,0.7692,0.6667,0.7231
R52c,R52c_2,hybrid,gpt-4o-mini,0.3077,0.5556,0.4193
R52c,R52c_3,hybrid,gpt-4o-mini,0.0769,0.3636,0.2059
R52c,R52c_4,hybrid,gpt-4o-mini,0.4615,0.5,0.4788
R52c,R52c_5,hybrid,gpt-4o-mini,0.3846,0.6,0.4815
R52c,R52c_6,hybrid,gpt-4o-mini,0.4615,0.4667,0.4638
R52c,R52c_7,hybrid,gpt-4o-mini,0.3846,0.8889,0.6115
R52c,R52c_8,hybrid,gpt-4o-mini,0.3846,0.6923,0.5231
R52c,R52c_9,hybrid,gpt-4o-mini,0.2308,0.5,0.3519
R52c,R52c_10,hybrid,gpt-4o-mini,0.0769,0.6,0.3123
R64,R64_1,hybrid,gpt-4o-mini,0.3,1.0,0.615
R64,R64_2,hybrid,gpt-4o-mini,0.3,1.0,0.615
R64,R64_3,hybrid,gpt-4o-mini,0.1,0.8333,0.43
R64,R64_4,hybrid,gpt-4o-mini,0.2,1.0,0.56
R64,R64_5,hybrid,gpt-4o-mini,0.3,0.7778,0.515
R64,R64_6,hybrid,gpt-4o-mini,0.3,0.7778,0.515
R64,R64_7,hybrid,gpt-4o-mini,0.3,0.8182,0.5332
R64,R64_8,hybrid,gpt-4o-mini,0.1,0.375,0.2238
R64,R64_9,hybrid,gpt-4o-mini,0.1,0.5,0.28
R64,R64_10,hybrid,gpt-4o-mini,0.1,0.6667,0.355
R65,R65_1,hybrid,gpt-4o-mini,1.0,0.9,0.955
R65,R65_2,hybrid,gpt-4o-mini,1.0,0.25,0.6625
