sample_id,reqId,model,mode,testId,element_type,element_text,evidence_window,full_evidence,window_is_fallback,anchor_terms_in_window,gherkin_test,matcher_verdict,human_verdict,notes
11,R60c,claude-haiku-4-5-20251001,vector,R60c_8,conflict,EMAIL_MARKETING_Newsletter_Force.txt,"rrent specification, while keeping field naming consistent across the product and warehouse-facing terminology."",
    ""status"": ""In Progress"",
    ""comments"": [
      {
        ""author"": ""QA Marta"",
        ""timestamp"": ""2026-02-25T14:00:00Z"",
        ""text"": ""Please confirm which identifier wording should appear in outbound messages. The specification and the warehouse-facing screens do not use exactly th

[6] source=af22485c3c34f13c type=SrcChunk hops=0 score=0.6338 chunk=af22485c3c34f13c doc=EMAIL_LEGAL_GDPR_Compliance.txt rel=VECTOR_SIMILARITY
From: it_lead@toolchain.com
To: pm_team@toolchain.com, dev_leads@toolchain.com
Date: 2026-02-18 14:45
Subject: Registration consent flow must be revised before launch

Hi All,

During the latest compliance review, Legal raised a blocking concern regarding how consent is collected in the registration journey.

At the moment, the current approach appears to bundle multiple legal acknowledgements too closely. For launch readiness, users need to ",False,False,2,"Given a user has configured notification preferences
When the system prepares to send any type of notification (transactional, promotional, operational, reminder)
Then the system shall check and enforce the user's notification preferences before delivery",integration_miss,SUBTHRESHOLD_PARAPHRASE,
12,R79b,claude-haiku-4-5-20251001,hybrid,R79b_6,conflict,Rent report generation logic,NO_EVIDENCE,True,True,0,"Given a report that aggregates data from multiple records
When displaying aggregated results
Then identifiers used in the aggregation should be consistent with source identifiers",integration_miss,UNREFLECTED,
13,R49,gpt-4o-mini,graph,R49_2,conflict,EMAIL_SUPPORT_Emergency_Override.txt," default as per 2.1.6.""
      }
    ]
  },
  {
  ""ticket_id"": ""JIRA-LIFE-202"",
  ""summary"": ""Implement Automated Post-Rental Availability Logic"",
  ""description"": ""Develop the backend logic that returns equipment to its normal rentable state after the post-rental handling window has elapsed. The implementation must follow the current lifecycle definition and support category-dependent handling durations rather than relying on a single fixed timer."",
  ""status"": ""In Progress"",
  ""attachments"": [""EMAIL_OPS_MixerSpecialRule.txt""],
  ""comments"": [
    {
      ""author"": ""Developer Dave"",
      ""timestamp"": ""2026-02-20T10:00:00Z"",
      ""text"": ""Based on the older lifecycle notes,

[12] source=3453478160ad1947 type=SrcDoc hops=2 rel=IN_DOC > IN_DOC
TOOLCHAIN-CONF-RENT-01-v1.2.md

[13] source=7b0e51a20f72afa4 type=SrcDoc hops=2 rel=IN_DOC > IN_DOC
TOOLCHAIN-CONF-RENT-01.md

[14] source=9dd628a82a09c2ba type=SrcDoc hops=2 rel=IN_DOC > IN_DOC
TOOLCHAIN-CONF-RENT-01-v1.1.md

[15] source=G81b typ",False,False,2,"Feature: Rent Record Creation
  Scenario: Prevent creation of rent records with rental periods in the past
    Given a user is authenticated
    When the user attempts to create a rent request with a rental start date in the past
    Then the system should prevent the creation of the rent record",integration_miss,UNREFLECTED,
14,R50,gpt-4o-mini,hybrid,R50_6,conflict,Maintenance period management,NO_EVIDENCE,True,True,0,"Feature: Availability State Semantics Separation
  Scenario: Transition from maintenance to active state
    Given the system is in a maintenance state
    When the state transitions to active
    Then the system should reflect the active state without confusion with the maintenance state",integration_miss,SUBTHRESHOLD_PARAPHRASE,
15,R50,gpt-4o-mini,vector,R50_1,conflict,Maintenance period management,"k=9978dc0dcd43a512 doc=JIRA-Item.md rel=VECTOR_SIMILARITY
"": ""Terminology check: the deletion outcome described in the specification does not map cleanly to the status values currently supported in the database. I need confirmation whether deleted items should reuse a non-rentable status or whether this requires a separate lifecycle value.""
      }
    ]
  }
]

[14] source=e6716dab172b3183 type=SrcChunk hops=0 score=0.6571 chunk=e6716dab172b3183 doc=JIRA-Availability.md rel=VECTOR_SIMILARITY
: ""Maintenance Period Management"",
    ""description"": ""Implement maintenance windows for items, ensure those periods block rental activity, and make the item appear non-rentable while the maintenance window is in effect."",
    ""status"": ""In Progress"",
    ""comments"": [
      {
        ""author"": ""Tomas"",
        ""timestamp"": ""2026-02-24T10:00:00Z"",
        ""text"": ""Current implementation path uses the existing non-rentable status handling for maintenance-related periods as well. We should confirm wh",False,False,3,"Feature: Availability Status
  Scenario: Availability status reflects current lifecycle state
    Given a rent record is in the 'Active' state
    When the system checks the availability status
    Then the availability status should be 'Available'",integration_miss,WRONG_DIRECTION_RESOLUTION,
16,R2,claude-haiku-4-5-20251001,hybrid,R2_7,supersede,Allow duplicate email for shared inbox,"ead, it should display a generic message: 'If this email is valid, a message has been sent to it.'"",
  ""comments"": [
    {
      ""author"": ""Security Engineer Viktor"",
      ""timestamp"": ""2026-02-16T10:00:00Z"",
      ""text"": ""This is critical for OWA (OWASP) compliance. We cannot leak user existence through the registration form.""
    }
  ]
},
  {
    ""ticket_id"": ""JIRA-Auth-109"",
    ""summary"": ""Authentication gate - Block login for non-Active accounts"",
    ""description"": ""The system shall not allow authentication or platform access for accounts that are not in Active status (e.g., Pending, Suspended, Deleted)."",
    ""comments"": []
  },
  {
    ""ticket_id"": ""JIRA-Auth-1

[12] source=I2 type=Implementation hops=1 rel=AFFECTS
Generic duplicate-email error

[13] source=I3 type=Implementation hops=1 rel=VIOLATES_REQUIREMENT
Allow duplicate email for shared inbox

[14] source=I9 type=Implementation hops=1 rel=AFFECTS
E.164 normalization + strict email validation

[15] source=C41 type=Commu",False,False,5,"Feature: Unique Email Address Validation
  Scenario: First registration with unique email succeeds
    Given no user with email ""newuser@example.com"" exists in the system
    When a new user attempts to register with email ""newuser@example.com""
    And all other mandatory fields are filled with valid data
    And the Terms and Conditions checkbox is checked
    Then the registration should succeed
    And a new user account should be created with status ""Pending""
    And an account activation email should be sent to ""newuser@example.com""",integration_miss,UNREFLECTED,
17,R51,gpt-4o-mini,hybrid,R51_3,conflict,Availability calculation logic,NO_EVIDENCE,True,True,0,"Feature: Category-specific post-rent buffer
  Scenario: Calculate post-rent buffer for Category C
    Given the rental amount is $2000
    And the category is 'C'
    When the post-rent buffer is calculated
    Then the buffer should be $400",integration_miss,UNREFLECTED,
18,R72b,gpt-4o-mini,hybrid,R72b_5,conflict,EMAIL_DATA_Internal_Audit_Discrepancy.txt,"[1] source=R72b type=Requirement hops=0 rel=TARGET
Financial report accuracy rule

[2] source=R72b type=Requirement/SrcChunk hops=0 chunk=c9549ababe52be5f doc=EMAIL_DATA_Internal_Audit_Discrepancy.txt rel=TARGET
From: internal_audit@toolchain.com
Date: 2026-03-08 14:00
Subject: Review findings on reporting consistency

Hi Dev Team,

During our recent reporting review, we found several consistency issues that need clarification before the reporting package can be considered reliable for audit use.

First, the financial outputs do not appear to align cleanly across all billing contexts. In some cases, the figures shown in reports, exported files, and bi",False,False,2,"Feature: Financial report accuracy
  Scenario: Impact of rounding on totals
    Given a financial report with multiple line items
    When the report is calculated with rounding rules
    Then the total must reflect accurate rounding without discrepancies",integration_miss,SUBTHRESHOLD_PARAPHRASE,
19,R33,claude-haiku-4-5-20251001,vector,R33_6,conflict,EMAIL_LOGISTICS_Barcode_Requirement.txt,"[1] source=25530b133e40baa1 type=SrcChunk hops=0 score=0.6182 chunk=25530b133e40baa1 doc=EMAIL_OPS_MixerSpecialRule.txt rel=VECTOR_SIMILARITY
From: ops_lead@toolchain.com
To: dev_leads@toolchain.com, pm_team@toolchain.com
Date: 2026-02-20 14:00
Subject: URGENT: Special Maintenance Rule for Concrete Mixers

Hi Team,

Regardless of what the current SRS (v1.2) says about the dynamic Maintenance Matrix, we have an emergency with Concrete Mixers. 120 minutes is absolutely not enough for proper cleaning/maintenance.

Effective immediately:
- Concrete Mixers MUST have a 12-hour (720 min) m",False,False,2,"Feature: Identifier Format Rule - Case Sensitivity
  Scenario: Item ID with uppercase letters is accepted
    Given an item creation request
    When the Item ID is set to ""ABC12345""
    Then the Item ID should be accepted

  Scenario: Item ID with lowercase letters is accepted
    Given an item creation request
    When the Item ID is set to ""abc12345""
    Then the Item ID should be accepted

  Scenario: Item ID with mixed case letters is accepted
    Given an item creation request
    When the Item ID is set to ""AbC12345""
    Then the Item ID should be accepted",integration_miss,UNREFLECTED,
20,R7,claude-haiku-4-5-20251001,hybrid,R7_2,supersede,Combined consent checkbox logic,NO_EVIDENCE,True,True,0,"Feature: Independent Consent Capture
  Scenario: Multiple users provide consent at the same time
    Given multiple consent capture interfaces are available
    When multiple users provide consent simultaneously
    Then each consent is captured independently
    And each consent record is stored separately",integration_miss,UNREFLECTED,
21,R33,gpt-4o-mini,hybrid,R33_6,supersede,Item database schema (Serial ID),"eaning/maintenance.

Effective immediately:
- Concrete Mixers MUST have a 12-hour (720 min) maintenance window.
- All other machinery can stay at the 2-hour (120 min) rule for now.

Please hardcode this for the Mixer category until the official Matrix is published in the next SRS version.

Best regards,
Tom (Operations Lead)

[6] source=I31 type=Implementation/SrcChunk hops=1 chunk=2cc02dcda359772d doc=JIRA-Item.md rel=VIOLATES_REQUIREMENT
[
  {
    ""ticket_id"": ""JIRA-ITEM-301"",
    ""summary"": ""Database schema for Item Identification and Tracking"",
    ""description"": ""Implement the data model for rentable items, including a stable identifier strategy and support for availability tracking. The backend design should remain compatible with warehouse operations, while staying aligned with the business-facing item model defined in the current specification."",
    ""status"": ""In Progress"",
    ""comments"": [
      {
        ""author"": ""Backend Engineer Tomas"",
        ""timestamp"": ""2026-02-21T0",False,False,3,"Feature: Warehouse Scanning Identifier Format
  Scenario: Validate identifier format during warehouse scanning
    Given a scanned identifier ""ITEM-101""
    When the system processes the scanned identifier
    Then the identifier should be recognized as valid",integration_miss,UNREFLECTED,
22,R33,claude-haiku-4-5-20251001,graph,R33_2,supersede,Item database schema (Serial ID),"eaning/maintenance.

Effective immediately:
- Concrete Mixers MUST have a 12-hour (720 min) maintenance window.
- All other machinery can stay at the 2-hour (120 min) rule for now.

Please hardcode this for the Mixer category until the official Matrix is published in the next SRS version.

Best regards,
Tom (Operations Lead)

[6] source=I31 type=Implementation/SrcChunk hops=1 chunk=2cc02dcda359772d doc=JIRA-Item.md rel=VIOLATES_REQUIREMENT
[
  {
    ""ticket_id"": ""JIRA-ITEM-301"",
    ""summary"": ""Database schema for Item Identification and Tracking"",
    ""description"": ""Implement the data model for rentable items, including a stable identifier strategy and support for availability tracking. The backend design should remain compatible with warehouse operations, while staying aligned with the business-facing item model defined in the current specification."",
    ""status"": ""In Progress"",
    ""comments"": [
      {
        ""author"": ""Backend Engineer Tomas"",
        ""timestamp"": ""2026-02-21T0",False,False,3,"Feature: Email Format Validation
  Scenario: Valid email format is accepted during registration
    Given a user registration form is displayed
    When the user enters a valid email ""user@example.com""
    Then the email should pass format validation
    And the registration should proceed to the next step
  
  Scenario: Invalid email format is rejected
    Given a user registration form is displayed
    When the user enters an invalid email ""notanemail""
    Then the email should fail format validation
    And an error message should be displayed",integration_miss,UNREFLECTED,
23,R80,gpt-4o-mini,hybrid,R80_5,conflict,EMAIL_DATA_Internal_Audit_Discrepancy.txt,"[1] source=R80 type=Requirement/SrcChunk hops=0 chunk=c9549ababe52be5f doc=EMAIL_DATA_Internal_Audit_Discrepancy.txt rel=TARGET
From: internal_audit@toolchain.com
Date: 2026-03-08 14:00
Subject: Review findings on reporting consistency

Hi Dev Team,

During our recent reporting review, we found several consistency issues that need clarification before the reporting package can be considered reliable for audit use.

First, the financial outputs do not appear to align cleanly across all billing contexts. In some cases, the figures shown in reports, exported files, and bi",False,False,2,"Feature: Authoritative monetary source consistency
  Scenario: Report generation consistency
    Given the authoritative monetary source is in place
    When generating a report
    Then the report should align with the authoritative monetary source",integration_miss,SUBTHRESHOLD_PARAPHRASE,
24,R60c,gpt-4o-mini,vector,R60c_2,conflict,EMAIL_MARKETING_Newsletter_Force.txt,"rrent specification, while keeping field naming consistent across the product and warehouse-facing terminology."",
    ""status"": ""In Progress"",
    ""comments"": [
      {
        ""author"": ""QA Marta"",
        ""timestamp"": ""2026-02-25T14:00:00Z"",
        ""text"": ""Please confirm which identifier wording should appear in outbound messages. The specification and the warehouse-facing screens do not use exactly th

[6] source=af22485c3c34f13c type=SrcChunk hops=0 score=0.6338 chunk=af22485c3c34f13c doc=EMAIL_LEGAL_GDPR_Compliance.txt rel=VECTOR_SIMILARITY
From: it_lead@toolchain.com
To: pm_team@toolchain.com, dev_leads@toolchain.com
Date: 2026-02-18 14:45
Subject: Registration consent flow must be revised before launch

Hi All,

During the latest compliance review, Legal raised a blocking concern regarding how consent is collected in the registration journey.

At the moment, the current approach appears to bundle multiple legal acknowledgements too closely. For launch readiness, users need to ",False,False,2,"Feature: Notification Preference Enforcement
  Scenario: User prefers SMS notifications
    Given the user has set their notification preference to 'SMS'
    When a notification event occurs
    Then the user should receive an SMS notification",integration_miss,UNREFLECTED,
25,R1,claude-haiku-4-5-20251001,vector,R1_10,conflict,Make phone number optional,"""2026-02-15T14:38:00Z"",
        ""text"": ""Leading/trailing spaces will be tri

[18] source=db35a35ae0334667 type=SrcChunk hops=0 score=0.7409 chunk=db35a35ae0334667 doc=JIRA-Auth.md rel=VECTOR_SIMILARITY
{
  ""ticket_id"": ""JIRA-Auth-114"",
  ""summary"": ""Allow registration without phone number"",
  ""description"": ""Some users are reluctant to provide their phone number during registration. Consider making the phone number optional in the registration form to reduce signup friction. If phone number is optional, the form validation logic and account model may need adjustments."",
  ""comments"": [
    {
      ""author"": ""Security Engineer Viktor"",
      ""timestamp"": ""2026-02-18T06:12:00Z"",
      ""text"": ""Do we only accept Hungarian (+36) numbers, or international format as well?""
    },
    {
      ""author"": ""Developer Dave"",
      ""timestamp"": ""2026-02-19T10:00:00Z"",
      ""text"": ""Logic Check: JIRA-Auth-101 states the 'Submit' button is disabled until ALL mandatory fields are filled. If I make t",False,False,4,"Feature: Registration Mandatory Fields - Consent Compliance
  Scenario: Registration fails when consents are presented as a single combined acknowledgement
    Given the registration form is displayed
    When the user enters all mandatory fields
    And the user is presented with a combined consent for both contractual terms and personal-data notice
    And the user accepts the combined consent
    And the user attempts to submit the registration form
    Then the form submission is rejected
    And an error message is displayed indicating consents must be accepted separately",integration_miss,UNREFLECTED,
26,R71,gpt-4o-mini,hybrid,R71_9,conflict,EMAIL_FINANCE_MultiCurrency_HACK.txt,"hor"": ""Developer Dave"",
        ""timestamp"": ""2026-03-01T10:00:00Z"",
        ""text"": ""The current specification defines correctness expectations for the total, but it does not fully spell out how edge-case fractions should be handled at each calculation stage. I started with a simplified approach for partial-unit handling, but this ne

[2] source=R71 type=Requirement hops=0 rel=TARGET
Multi-currency conversion integrity

[3] source=R71 type=Requirement/SrcChunk hops=0 chunk=ba9aac1af7d4e225 doc=EMAIL_FINANCE_MultiCurrency_HACK.txt rel=TARGET
From: finance_director@toolchain.com
Date: 2026-03-03 11:00
Subject: Pilot concern about international billing presentation

Hi Team,

Finance has a concern related to the pilot rollout for internationally billed equipment.

For a subset of high-value inventory, we may need a billing presentation approach that works more cleanly across more than one currency context. The current specification covers general pricing and billing expectations, but it ",False,False,2,"Feature: Multi-currency conversion integrity
  Scenario: Prioritization of core pricing logic
    Given a product priced at 300 USD
    When presented in multiple currencies
    Then the core pricing logic must take precedence over any currency presentation rules",integration_miss,SUBTHRESHOLD_PARAPHRASE,
27,R49,claude-haiku-4-5-20251001,graph,R49_2,conflict,EMAIL_SUPPORT_Emergency_Override.txt," default as per 2.1.6.""
      }
    ]
  },
  {
  ""ticket_id"": ""JIRA-LIFE-202"",
  ""summary"": ""Implement Automated Post-Rental Availability Logic"",
  ""description"": ""Develop the backend logic that returns equipment to its normal rentable state after the post-rental handling window has elapsed. The implementation must follow the current lifecycle definition and support category-dependent handling durations rather than relying on a single fixed timer."",
  ""status"": ""In Progress"",
  ""attachments"": [""EMAIL_OPS_MixerSpecialRule.txt""],
  ""comments"": [
    {
      ""author"": ""Developer Dave"",
      ""timestamp"": ""2026-02-20T10:00:00Z"",
      ""text"": ""Based on the older lifecycle notes,

[12] source=3453478160ad1947 type=SrcDoc hops=2 rel=IN_DOC > IN_DOC
TOOLCHAIN-CONF-RENT-01-v1.2.md

[13] source=7b0e51a20f72afa4 type=SrcDoc hops=2 rel=IN_DOC > IN_DOC
TOOLCHAIN-CONF-RENT-01.md

[14] source=9dd628a82a09c2ba type=SrcDoc hops=2 rel=IN_DOC > IN_DOC
TOOLCHAIN-CONF-RENT-01-v1.1.md

[15] source=G81b typ",False,False,2,"Feature: Requested-rent reservation semantics
  Scenario: Attempt to create rent record for non-existent item
    Given no rentable item exists with ID ""ITEM-INVALID""
    When I attempt to create a rent request for item ""ITEM-INVALID"" from ""2024-02-01"" to ""2024-02-15""
    Then the rent request creation fails
    And an error message indicates ""Rentable item does not exist""",integration_miss,UNREFLECTED,
